id_votante,nombre_completo,codigo_de_estado,anio_registro,anio_nacimiento
45360600,Itziar Barnechea Caneda,18,1973,1955
35362400,Florentino Lozares Mendizabal,4,1953,1935
161468800,Darina Saga Cernadas,2,1990,1972
21311400,Lucila Villayuste Mancebo,19,1972,1954
183973200,Santino Cepa Pazos,2,2006,1988
39224600,Lecely Huera Cardena,21,2011,1993
49047800,Lasset Albuerne Herrea,30,1960,1942
186031600,Telesforo Ibero Ochoa,29,1981,1963
62560000,Nerea Santana Zumarraga,0,1955,1937
34510000,Ayari Sanguino Arzuriaga,6,1961,1943
172344000,Siboney Aristeguieta Pravia,16,1957,1939
67949000,Lucas Caldevilla Castaniza,5,1973,1955
156409800,Yohaly Fernando Aelle,10,2011,1993
78822800,Juliana Vinambre San,11,2000,1982
88286800,Casto Feyto Rabel,11,1959,1941
71013600,Wilfrido Chaniz Urtaza,11,1999,1981
32506200,Aragon Sorriba Orcajo,30,2019,2001
151015800,Yasmani Lanzon Polledo,29,1966,1948
62275600,Midyaliz Molino Ontoria,0,1967,1949
21513600,Uriel Fuentecilla Oceta,5,1983,1965
109791200,Eloy Menocal Solorzano,8,1960,1942
41739400,Frances Cuellar Solbeida,14,1972,1954
30969800,Horacio Roncesvalles Valonga,29,1979,1961
122330200,Oralia Gomara Calvon,19,2017,1999
188083000,Lisandro Haedo Pages,28,1986,1968
150954400,Eyvar Urtubia Guiza,15,2009,1991
169936800,Carla Cifontes Monedero,7,1986,1968
164223000,Narciso Azurmendi Yera,18,1988,1970
108358800,Felipe Guilarte Bonar,23,1968,1950
100780800,Mali Bezares Zaballos,10,1982,1964
149248200,Blas Riesgo Tellez,0,1983,1965
98757800,Herlinda Lavega Laguillo,6,1969,1951
171875200,Leonela Salado Nafarrate,12,1988,1970
36600800,Lizbeth Millan Barrantes,2,1956,1938
151536400,Cihua Pobes Barricat,1,2008,1990
41713200,Marilyz Rubial Panadero,27,2012,1994
170481800,Sandra Broz Baz,5,2012,1994
161095200,Kala Pardemanos Escalada,20,2002,1984
51296000,Salvador Galdo Sotes,1,1981,1963
30861000,Rosa Cuezba Ascarretazabal,2,1999,1981
90566400,Alda Miravalles Agunaga,27,1967,1949
96246200,Irina Villasante Legorburu,0,1996,1978
109813800,Clelia Rubayo Traspuesto,20,2017,1999
163230400,Marianela Melgar Escanciano,27,1953,1935
61915800,Shamika Andonaegui Toro,24,1980,1962
131620000,Vidal Diez Lorenzana,27,1985,1967
99568200,Zarai Vizcarra Piscina,17,1976,1958
156253200,Javiera Tellez Santiuste,6,1971,1953
196002200,Liberata Abalos Riega,21,1979,1961
50799200,Juan Herrezuelo Arando,13,2017,1999
35388800,Victor Hernando Urdapileta,0,2017,1999
190848400,Joel Breijoo Ovies,26,2003,1985
45316400,Alexandra Intriago Moure,0,1992,1974
169584400,Doraliza Gox Jaquinot,29,2013,1995
142981600,Naim Estefania Lizundia,4,2004,1986
172994600,Donato Aguilar Zalaca,28,1980,1962
186784800,Carlo Torron Sanjurjo,10,1995,1977
109373200,Sabrina Orantes Freigido,12,1968,1950
182307400,Juliette Leston Bonechea,26,2018,2000
57312800,Maria Morelle Lecuna,16,2005,1987
151790600,Samuel Galaz Vergara,11,1993,1975
58560400,Amali Sirguero Allonca,13,1975,1957
178418200,Humberto Gambo Molinuevo,3,1961,1943
74726400,Marito Reymondo Trelles,5,1956,1938
114884200,Valentina Jorrin Soret,16,1958,1940
81898800,Tarsila Muro Iribarren,30,1991,1973
125238200,Katary Toresano Branas,29,2006,1988
169960400,Cordelia Uranga Arciniega,22,1950,1932
107793200,Erik Landeribar Mestas,23,2019,2001
174135400,Natalia Collantes Sobrado,12,2011,1993
106185600,Patricia Bocaran Patino,3,2003,1985
169313600,Marta Angosto Fontecavada,18,1991,1973
66749800,Yasmine Valverde Yecora,17,1958,1940
147433200,Yenia Figueras Bringas,6,2017,1999
90487400,Wiliwaldo Valmayor Zapatero,16,1982,1964
163878200,Dunkeny Falceto Castrillo,8,2015,1997
60103600,Melchor Murua Lavega,18,1958,1940
133222000,Scarlett Luengo Coyences,29,1969,1951
50776600,Susan Mayre Torio,7,1959,1941
108496000,Yaiza Cainzos Galan,30,2010,1992
41531400,Sixto Resamano Bringas,24,1995,1977
22538400,Awilma Rios Buisan,8,2019,2001
80360000,Wendolyn Millan Galban,28,1970,1952
119089800,Crisel Tegeiro Santa,30,2005,1987
32261800,Uriel Senor Durana,12,1977,1959
162758200,Silvestre Acebedo Labandera,3,1979,1961
180130800,Kater Baca Trigo,13,1952,1934
197189200,Adhany Juan Alcega,27,2000,1982
168109200,Aixa Mangas Larrave,3,1964,1946
170497800,Zahira Uriona Ballesteros,13,1967,1949
180681600,Aureliano Acereda Ordas,28,1996,1978
170320600,Ambrosio Aries Mallo,16,2010,1992
99609200,Aygleinigs Delgadillo Maderos,19,2008,1990
87710400,Ennis Casal Geras,25,1985,1967
48598600,Ruben Busta Toyo,11,2001,1983
174287800,Linda Mojon Pagola,25,1976,1958
110567400,Irina Luey Pineros,26,1977,1959
151504000,Traudel Oraa Macon,26,1984,1966
171818200,Bernardino Arbulo Guibar,30,1977,1959
151047400,Alejandro Trifol Alcubilla,5,2007,1989
170243400,Miguen Angel Mancera,13,1964,1946
